Key,date,Jurisdiction_Abbrev,Jurisdiction_Full,Country,Monthly_new_case,Monthly_new_death
43891Newfoundland and Labrador,3/1/2020,NL,Newfoundland and Labrador,Canada,152,1
43922Newfoundland and Labrador,4/1/2020,NL,Newfoundland and Labrador,Canada,106,2
43952Newfoundland and Labrador,5/1/2020,NL,Newfoundland and Labrador,Canada,3,0
43983Newfoundland and Labrador,6/1/2020,NL,Newfoundland and Labrador,Canada,0,0
44013Newfoundland and Labrador,7/1/2020,NL,Newfoundland and Labrador,Canada,5,0
44044Newfoundland and Labrador,8/1/2020,NL,Newfoundland and Labrador,Canada,3,0
44075Newfoundland and Labrador,9/1/2020,NL,Newfoundland and Labrador,Canada,5,0
44105Newfoundland and Labrador,10/1/2020,NL,Newfoundland and Labrador,Canada,17,1
44136Newfoundland and Labrador,11/1/2020,NL,Newfoundland and Labrador,Canada,47,0
44166Newfoundland and Labrador,12/1/2020,NL,Newfoundland and Labrador,Canada,52,0
44197Newfoundland and Labrador,1/1/2021,NL,Newfoundland and Labrador,Canada,18,0
44228Newfoundland and Labrador,2/1/2021,NL,Newfoundland and Labrador,Canada,579,2
44256Newfoundland and Labrador,3/1/2021,NL,Newfoundland and Labrador,Canada,32,0
44287Newfoundland and Labrador,4/1/2021,NL,Newfoundland and Labrador,Canada,57,0
44317Newfoundland and Labrador,5/1/2021,NL,Newfoundland and Labrador,Canada,235,0
44348Newfoundland and Labrador,6/1/2021,NL,Newfoundland and Labrador,Canada,75,1
44378Newfoundland and Labrador,7/1/2021,NL,Newfoundland and Labrador,Canada,51,0
44409Newfoundland and Labrador,8/1/2021,NL,Newfoundland and Labrador,Canada,41,0
44440Newfoundland and Labrador,9/1/2021,NL,Newfoundland and Labrador,Canada,269,1
44470Newfoundland and Labrador,10/1/2021,NL,Newfoundland and Labrador,Canada,245,8
44501Newfoundland and Labrador,11/1/2021,NL,Newfoundland and Labrador,Canada,39,1
43891Prince Edward Island,3/1/2020,PE,Prince Edward Island,Canada,21,0
43922Prince Edward Island,4/1/2020,PE,Prince Edward Island,Canada,6,0
43952Prince Edward Island,5/1/2020,PE,Prince Edward Island,Canada,0,0
43983Prince Edward Island,6/1/2020,PE,Prince Edward Island,Canada,0,0
44013Prince Edward Island,7/1/2020,PE,Prince Edward Island,Canada,9,0
44044Prince Edward Island,8/1/2020,PE,Prince Edward Island,Canada,8,0
44075Prince Edward Island,9/1/2020,PE,Prince Edward Island,Canada,15,0
44105Prince Edward Island,10/1/2020,PE,Prince Edward Island,Canada,5,0
44136Prince Edward Island,11/1/2020,PE,Prince Edward Island,Canada,8,0
44166Prince Edward Island,12/1/2020,PE,Prince Edward Island,Canada,24,0
44197Prince Edward Island,1/1/2021,PE,Prince Edward Island,Canada,15,0
44228Prince Edward Island,2/1/2021,PE,Prince Edward Island,Canada,21,0
44256Prince Edward Island,3/1/2021,PE,Prince Edward Island,Canada,27,0
44287Prince Edward Island,4/1/2021,PE,Prince Edward Island,Canada,22,0
44317Prince Edward Island,5/1/2021,PE,Prince Edward Island,Canada,23,0
44348Prince Edward Island,6/1/2021,PE,Prince Edward Island,Canada,3,0
44378Prince Edward Island,7/1/2021,PE,Prince Edward Island,Canada,1,0
44409Prince Edward Island,8/1/2021,PE,Prince Edward Island,Canada,25,0
44440Prince Edward Island,9/1/2021,PE,Prince Edward Island,Canada,66,0
44470Prince Edward Island,10/1/2021,PE,Prince Edward Island,Canada,18,0
44501Prince Edward Island,11/1/2021,PE,Prince Edward Island,Canada,19,0
43891Nova Scotia,3/1/2020,NS,Nova Scotia,Canada,147,0
43922Nova Scotia,4/1/2020,NS,Nova Scotia,Canada,800,28
43952Nova Scotia,5/1/2020,NS,Nova Scotia,Canada,109,32
43983Nova Scotia,6/1/2020,NS,Nova Scotia,Canada,6,3
44013Nova Scotia,7/1/2020,NS,Nova Scotia,Canada,7,1
44044Nova Scotia,8/1/2020,NS,Nova Scotia,Canada,16,1
44075Nova Scotia,9/1/2020,NS,Nova Scotia,Canada,3,0
44105Nova Scotia,10/1/2020,NS,Nova Scotia,Canada,21,0
44136Nova Scotia,11/1/2020,NS,Nova Scotia,Canada,196,0
44166Nova Scotia,12/1/2020,NS,Nova Scotia,Canada,181,0
44197Nova Scotia,1/1/2021,NS,Nova Scotia,Canada,94,0
44228Nova Scotia,2/1/2021,NS,Nova Scotia,Canada,61,0
44256Nova Scotia,3/1/2021,NS,Nova Scotia,Canada,75,1
44287Nova Scotia,4/1/2021,NS,Nova Scotia,Canada,711,1
44317Nova Scotia,5/1/2021,NS,Nova Scotia,Canada,3140,18
44348Nova Scotia,6/1/2021,NS,Nova Scotia,Canada,269,7
44378Nova Scotia,7/1/2021,NS,Nova Scotia,Canada,51,1
44409Nova Scotia,8/1/2021,NS,Nova Scotia,Canada,144,1
44440Nova Scotia,9/1/2021,NS,Nova Scotia,Canada,607,3
44470Nova Scotia,10/1/2021,NS,Nova Scotia,Canada,716,3
44501Nova Scotia,11/1/2021,NS,Nova Scotia,Canada,631,5
43891New Brunswick,3/1/2020,NB,New Brunswick,Canada,70,0
