Date,Country,Province/Territory,Number of Applications,Total Gross Amount
10/1/2020,Canada,Newfoundland and Labrador,10850,10850
10/1/2020,Canada,Prince Edward Island,2760,2760
10/1/2020,Canada,Nova Scotia,20740,20740
10/1/2020,Canada,New Brunswick,14550,14550
10/1/2020,Canada,Quebec,168930,168930
10/1/2020,Canada,Ontario,470820,470820
10/1/2020,Canada,Manitoba,27340,27340
10/1/2020,Canada,Saskatchewan,25870,25870
10/1/2020,Canada,Alberta,127960,127960
10/1/2020,Canada,British Columbia,133980,133980
10/1/2020,Canada,Yukon,990,990
10/1/2020,Canada,Northwest Territories,1440,1440
10/1/2020,Canada,Nunavut,750,750
10/1/2020,Canada,Newfoundland and Labrador,11710,11710
10/1/2020,Canada,Prince Edward Island,2910,2910
10/1/2020,Canada,Nova Scotia,22200,22200
10/1/2020,Canada,New Brunswick,15900,15900
10/1/2020,Canada,Quebec,180410,180410
10/1/2020,Canada,Ontario,488820,488820
10/1/2020,Canada,Manitoba,30550,30550
10/1/2020,Canada,Saskatchewan,27840,27840
10/1/2020,Canada,Alberta,136300,136300
10/1/2020,Canada,British Columbia,141390,141390
10/1/2020,Canada,Yukon,1060,1060
10/1/2020,Canada,Northwest Territories,1510,1510
10/1/2020,Canada,Nunavut,830,830
11/1/2020,Canada,Newfoundland and Labrador,12010,12010
11/1/2020,Canada,Prince Edward Island,2950,2950
11/1/2020,Canada,Nova Scotia,23320,23320
11/1/2020,Canada,New Brunswick,16210,16210
11/1/2020,Canada,Quebec,185430,185430
11/1/2020,Canada,Ontario,502960,502960
11/1/2020,Canada,Manitoba,33200,33200
11/1/2020,Canada,Saskatchewan,29180,29180
11/1/2020,Canada,Alberta,142560,142560
11/1/2020,Canada,British Columbia,146520,146520
11/1/2020,Canada,Yukon,1150,1150
11/1/2020,Canada,Northwest Territories,1590,1590
11/1/2020,Canada,Nunavut,880,880
11/1/2020,Canada,Newfoundland and Labrador,12250,12250
11/1/2020,Canada,Prince Edward Island,3060,3060
11/1/2020,Canada,Nova Scotia,24210,24210
11/1/2020,Canada,New Brunswick,16710,16710
11/1/2020,Canada,Quebec,189710,189710
11/1/2020,Canada,Ontario,508930,508930
11/1/2020,Canada,Manitoba,36060,36060
11/1/2020,Canada,Saskatchewan,30350,30350
11/1/2020,Canada,Alberta,148840,148840
11/1/2020,Canada,British Columbia,150870,150870
11/1/2020,Canada,Yukon,1180,1180
11/1/2020,Canada,Northwest Territories,1610,1610
11/1/2020,Canada,Nunavut,940,940
12/1/2020,Canada,Newfoundland and Labrador,11510,11510
12/1/2020,Canada,Prince Edward Island,2950,2950
12/1/2020,Canada,Nova Scotia,23710,23710
12/1/2020,Canada,New Brunswick,15870,15870
12/1/2020,Canada,Quebec,181260,181260
12/1/2020,Canada,Ontario,490840,490840
12/1/2020,Canada,Manitoba,34150,34150
12/1/2020,Canada,Saskatchewan,28650,28650
12/1/2020,Canada,Alberta,146190,146190
12/1/2020,Canada,British Columbia,145330,145330
12/1/2020,Canada,Yukon,1050,1050
12/1/2020,Canada,Northwest Territories,1450,1450
12/1/2020,Canada,Nunavut,850,850
12/1/2020,Canada,Newfoundland and Labrador,11230,11230
12/1/2020,Canada,Prince Edward Island,2970,2970
12/1/2020,Canada,Nova Scotia,23370,23370
12/1/2020,Canada,New Brunswick,15610,15610
12/1/2020,Canada,Quebec,185840,185840
12/1/2020,Canada,Ontario,503130,503130
12/1/2020,Canada,Manitoba,34320,34320
12/1/2020,Canada,Saskatchewan,28600,28600
12/1/2020,Canada,Alberta,155240,155240
12/1/2020,Canada,British Columbia,144890,144890
12/1/2020,Canada,Yukon,1060,1060
12/1/2020,Canada,Northwest Territories,1480,1480
12/1/2020,Canada,Nunavut,850,850
1/1/2021,Canada,Newfoundland and Labrador,11610,11610
1/1/2021,Canada,Prince Edward Island,2950,2950
1/1/2021,Canada,Nova Scotia,23710,23710
1/1/2021,Canada,New Brunswick,16360,16360
1/1/2021,Canada,Quebec,220070,220070
1/1/2021,Canada,Ontario,545380,545380
1/1/2021,Canada,Manitoba,35030,35030
1/1/2021,Canada,Saskatchewan,29350,29350
1/1/2021,Canada,Alberta,162640,162640
1/1/2021,Canada,British Columbia,147230,147230
1/1/2021,Canada,Yukon,1090,1090
1/1/2021,Canada,Northwest Territories,1500,1500
