State,"Month, Year of Filed week ended",Continued Claims,Covered Employment,Initial Claims,Insured Unemployment Rate
Alabama,1/1/2020,18523,1923741,4578,0.96
Alabama,1/1/2020,21143,1923741,3629,1.1
Alabama,1/1/2020,17402,1923741,2483,0.9
Alabama,1/1/2020,18390,1923741,2129,0.96
Alabama,2/1/2020,17284,1923741,2170,0.9
Alabama,2/1/2020,16745,1923741,2176,0.87
Alabama,2/1/2020,16571,1923741,1981,0.86
Alabama,2/1/2020,16059,1923741,1735,0.83
Alabama,2/1/2020,14721,1923741,1575,0.77
Alabama,3/1/2020,13657,1923741,1663,0.71
Alabama,3/1/2020,13070,1923741,1819,0.68
Alabama,3/1/2020,12487,1923741,10892,0.65
Alabama,3/1/2020,18083,1923741,80984,0.94
Alabama,4/1/2020,52176,1923741,106739,2.71
Alabama,4/1/2020,95325,1929897,77515,4.94
Alabama,4/1/2020,144327,1929897,66432,7.48
Alabama,4/1/2020,173855,1929897,74966,9.01
Alabama,5/1/2020,214684,1929897,28985,11.12
Alabama,5/1/2020,216856,1929897,26666,11.24
Alabama,5/1/2020,203677,1929897,25150,10.55
Alabama,5/1/2020,190205,1929897,27919,9.86
Alabama,5/1/2020,183565,1929897,21335,9.51
Alabama,6/1/2020,180245,1929897,19949,9.34
Alabama,6/1/2020,163982,1929897,18367,8.5
Alabama,6/1/2020,150002,1929897,18671,7.77
Alabama,6/1/2020,141450,1929897,18338,7.33
Alabama,7/1/2020,138272,1929897,19056,7.16
Alabama,7/1/2020,117388,1935262,20563,6.07
Alabama,7/1/2020,105644,1935262,23676,5.46
Alabama,7/1/2020,94069,1935262,17437,4.86
Alabama,8/1/2020,84070,1935262,11690,4.34
Alabama,8/1/2020,70412,1935262,9467,3.64
Alabama,8/1/2020,58275,1935262,11047,3.01
Alabama,8/1/2020,51991,1935262,8676,2.69
Alabama,8/1/2020,48797,1935262,8511,2.52
Alabama,9/1/2020,44546,1935262,8901,2.3
Alabama,9/1/2020,40198,1935262,8848,2.08
Alabama,9/1/2020,37431,1935262,8679,1.93
Alabama,9/1/2020,34997,1935262,8805,1.81
Alabama,10/1/2020,30716,1935262,7732,1.59
Alabama,10/1/2020,27063,1939059,8581,1.4
Alabama,10/1/2020,43493,1939059,7964,2.24
Alabama,10/1/2020,35544,1939059,7126,1.83
Alabama,10/1/2020,31693,1939059,7060,1.63
Alabama,11/1/2020,28422,1939059,8764,1.47
Alabama,11/1/2020,25256,1939059,9262,1.3
Alabama,11/1/2020,25647,1939059,11813,1.32
Alabama,11/1/2020,22949,1939059,7061,1.18
Alabama,12/1/2020,24658,1939059,7656,1.27
Alabama,12/1/2020,23443,1939059,7568,1.21
Alabama,12/1/2020,23327,1939059,7543,1.2
Alabama,12/1/2020,23053,1939059,5506,1.19
Alabama,1/1/2021,23641,1939059,10986,1.22
Alabama,1/1/2021,16681,1895231,14084,0.88
Alabama,1/1/2021,15769,1895231,11980,0.83
Alabama,1/1/2021,16558,1895231,11615,0.87
Alabama,1/1/2021,16619,1895231,12664,0.88
Alabama,2/1/2021,17537,1895231,13464,0.93
Alabama,2/1/2021,17313,1895231,12087,0.91
Alabama,2/1/2021,16624,1895231,11395,0.88
Alabama,2/1/2021,18937,1895231,11624,1
Alabama,3/1/2021,16979,1895231,13592,0.9
Alabama,3/1/2021,16637,1895231,16506,0.88
Alabama,3/1/2021,15664,1895231,13994,0.83
Alabama,3/1/2021,15945,1895231,18710,0.84
Alabama,4/1/2021,16498,1895231,5392,0.87
Alabama,4/1/2021,19237,1870713,10909,1.03
Alabama,4/1/2021,19524,1870713,8983,1.04
Alabama,4/1/2021,18606,1870713,9816,0.99
Alabama,5/1/2021,18099,1870713,10325,0.97
Alabama,5/1/2021,17946,1870713,10841,0.96
Alabama,5/1/2021,17390,1870713,9377,0.93
Alabama,5/1/2021,15649,1870713,8698,0.84
Alabama,5/1/2021,13567,1870713,7247,0.73
Alabama,6/1/2021,13202,1870713,7260,0.71
Alabama,6/1/2021,12921,1870713,5554,0.69
Alabama,6/1/2021,12204,1870713,6101,0.65
Alabama,6/1/2021,13057,1870713,5816,0.7
Alabama,7/1/2021,15753,1870713,7295,0.84
Alabama,7/1/2021,12618,1853778,5435,0.68
Alabama,7/1/2021,11907,1853778,4254,0.64
Alabama,7/1/2021,9708,1853778,3977,0.52
Alabama,7/1/2021,17510,1853778,5203,0.94
