Table 6: Number of Canada Recovery Benefit (CRB) applications and total gross amount (in $000) by province and territory and eligibility period,,,
,,,
Eligibility Period,Province/Territory,Number of Applications,Total Gross Amount ($000)
1: 2020-09-27 to 2020-10-10,Newfoundland and Labrador,10850,10850
1: 2020-09-27 to 2020-10-10,Prince Edward Island,2760,2760
1: 2020-09-27 to 2020-10-10,Nova Scotia,20740,20740
1: 2020-09-27 to 2020-10-10,New Brunswick,14550,14550
1: 2020-09-27 to 2020-10-10,Quebec,168930,168930
1: 2020-09-27 to 2020-10-10,Ontario,470820,470820
1: 2020-09-27 to 2020-10-10,Manitoba,27340,27340
1: 2020-09-27 to 2020-10-10,Saskatchewan,25870,25870
1: 2020-09-27 to 2020-10-10,Alberta,127960,127960
1: 2020-09-27 to 2020-10-10,British Columbia,133980,133980
1: 2020-09-27 to 2020-10-10,Yukon,990,990
1: 2020-09-27 to 2020-10-10,Northwest Territories,1440,1440
1: 2020-09-27 to 2020-10-10,Nunavut,750,750
1: 2020-09-27 to 2020-10-10,Outside Canada,360,360
1: 2020-09-27 to 2020-10-10,Missing,-,-
1: 2020-09-27 to 2020-10-10,Total,1007320,1007320
2: 2020-10-11 to 2020-10-24,Newfoundland and Labrador,11710,11710
2: 2020-10-11 to 2020-10-24,Prince Edward Island,2910,2910
2: 2020-10-11 to 2020-10-24,Nova Scotia,22200,22200
2: 2020-10-11 to 2020-10-24,New Brunswick,15900,15900
2: 2020-10-11 to 2020-10-24,Quebec,180410,180410
2: 2020-10-11 to 2020-10-24,Ontario,488820,488820
2: 2020-10-11 to 2020-10-24,Manitoba,30550,30550
2: 2020-10-11 to 2020-10-24,Saskatchewan,27840,27840
2: 2020-10-11 to 2020-10-24,Alberta,136300,136300
2: 2020-10-11 to 2020-10-24,British Columbia,141390,141390
2: 2020-10-11 to 2020-10-24,Yukon,1060,1060
2: 2020-10-11 to 2020-10-24,Northwest Territories,1510,1510
2: 2020-10-11 to 2020-10-24,Nunavut,830,830
2: 2020-10-11 to 2020-10-24,Outside Canada,370,370
2: 2020-10-11 to 2020-10-24,Missing,-,-
2: 2020-10-11 to 2020-10-24,Total,1061800,1061800
3: 2020-10-25 to 2020-11-07,Newfoundland and Labrador,12010,12010
3: 2020-10-25 to 2020-11-07,Prince Edward Island,2950,2950
3: 2020-10-25 to 2020-11-07,Nova Scotia,23320,23320
3: 2020-10-25 to 2020-11-07,New Brunswick,16210,16210
3: 2020-10-25 to 2020-11-07,Quebec,185430,185430
3: 2020-10-25 to 2020-11-07,Ontario,502960,502960
3: 2020-10-25 to 2020-11-07,Manitoba,33200,33200
3: 2020-10-25 to 2020-11-07,Saskatchewan,29180,29180
3: 2020-10-25 to 2020-11-07,Alberta,142560,142560
3: 2020-10-25 to 2020-11-07,British Columbia,146520,146520
3: 2020-10-25 to 2020-11-07,Yukon,1150,1150
3: 2020-10-25 to 2020-11-07,Northwest Territories,1590,1590
3: 2020-10-25 to 2020-11-07,Nunavut,880,880
3: 2020-10-25 to 2020-11-07,Outside Canada,420,420
3: 2020-10-25 to 2020-11-07,Missing,-,-
3: 2020-10-25 to 2020-11-07,Total,1098380,1098380
4: 2020-11-08 to 2020-11-21,Newfoundland and Labrador,12250,12250
4: 2020-11-08 to 2020-11-21,Prince Edward Island,3060,3060
4: 2020-11-08 to 2020-11-21,Nova Scotia,24210,24210
4: 2020-11-08 to 2020-11-21,New Brunswick,16710,16710
4: 2020-11-08 to 2020-11-21,Quebec,189710,189710
4: 2020-11-08 to 2020-11-21,Ontario,508930,508930
4: 2020-11-08 to 2020-11-21,Manitoba,36060,36060
4: 2020-11-08 to 2020-11-21,Saskatchewan,30350,30350
4: 2020-11-08 to 2020-11-21,Alberta,148840,148840
4: 2020-11-08 to 2020-11-21,British Columbia,150870,150870
4: 2020-11-08 to 2020-11-21,Yukon,1180,1180
4: 2020-11-08 to 2020-11-21,Northwest Territories,1610,1610
4: 2020-11-08 to 2020-11-21,Nunavut,940,940
4: 2020-11-08 to 2020-11-21,Outside Canada,420,420
4: 2020-11-08 to 2020-11-21,Missing,-,-
4: 2020-11-08 to 2020-11-21,Total,1125120,1125120
5: 2020-11-22 to 2020-12-05,Newfoundland and Labrador,11510,11510
5: 2020-11-22 to 2020-12-05,Prince Edward Island,2950,2950
5: 2020-11-22 to 2020-12-05,Nova Scotia,23710,23710
5: 2020-11-22 to 2020-12-05,New Brunswick,15870,15870
5: 2020-11-22 to 2020-12-05,Quebec,181260,181260
5: 2020-11-22 to 2020-12-05,Ontario,490840,490840
5: 2020-11-22 to 2020-12-05,Manitoba,34150,34150
5: 2020-11-22 to 2020-12-05,Saskatchewan,28650,28650
5: 2020-11-22 to 2020-12-05,Alberta,146190,146190
5: 2020-11-22 to 2020-12-05,British Columbia,145330,145330
5: 2020-11-22 to 2020-12-05,Yukon,1050,1050
5: 2020-11-22 to 2020-12-05,Northwest Territories,1450,1450
5: 2020-11-22 to 2020-12-05,Nunavut,850,850
5: 2020-11-22 to 2020-12-05,Outside Canada,400,400
5: 2020-11-22 to 2020-12-05,Missing,-,-
5: 2020-11-22 to 2020-12-05,Total,1084210,1084210
6: 2020-12-06 to 2020-12-19,Newfoundland and Labrador,11230,11230
6: 2020-12-06 to 2020-12-19,Prince Edward Island,2970,2970
6: 2020-12-06 to 2020-12-19,Nova Scotia,23370,23370
6: 2020-12-06 to 2020-12-19,New Brunswick,15610,15610
6: 2020-12-06 to 2020-12-19,Quebec,185840,185840
6: 2020-12-06 to 2020-12-19,Ontario,503130,503130
6: 2020-12-06 to 2020-12-19,Manitoba,34320,34320
6: 2020-12-06 to 2020-12-19,Saskatchewan,28600,28600
6: 2020-12-06 to 2020-12-19,Alberta,155240,155240
6: 2020-12-06 to 2020-12-19,British Columbia,144890,144890
6: 2020-12-06 to 2020-12-19,Yukon,1060,1060
6: 2020-12-06 to 2020-12-19,Northwest Territories,1480,1480
6: 2020-12-06 to 2020-12-19,Nunavut,850,850
6: 2020-12-06 to 2020-12-19,Outside Canada,410,410
6: 2020-12-06 to 2020-12-19,Missing,-,-
6: 2020-12-06 to 2020-12-19,Total,1109000,1109000
7: 2020-12-20 to 2021-01-02,Newfoundland and Labrador,11610,11610
7: 2020-12-20 to 2021-01-02,Prince Edward Island,2950,2950
7: 2020-12-20 to 2021-01-02,Nova Scotia,23710,23710
7: 2020-12-20 to 2021-01-02,New Brunswick,16360,16360
7: 2020-12-20 to 2021-01-02,Quebec,220070,220070
7: 2020-12-20 to 2021-01-02,Ontario,545380,545380
7: 2020-12-20 to 2021-01-02,Manitoba,35030,35030
7: 2020-12-20 to 2021-01-02,Saskatchewan,29350,29350
7: 2020-12-20 to 2021-01-02,Alberta,162640,162640
7: 2020-12-20 to 2021-01-02,British Columbia,147230,147230
7: 2020-12-20 to 2021-01-02,Yukon,1090,1090
7: 2020-12-20 to 2021-01-02,Northwest Territories,1500,1500
7: 2020-12-20 to 2021-01-02,Nunavut,910,910
7: 2020-12-20 to 2021-01-02,Outside Canada,440,440
7: 2020-12-20 to 2021-01-02,Missing,-,-
7: 2020-12-20 to 2021-01-02,Total,1198260,1198260
8: 2021-01-03 to 2021-01-16,Newfoundland and Labrador,11770,11770
8: 2021-01-03 to 2021-01-16,Prince Edward Island,2950,2950
8: 2021-01-03 to 2021-01-16,Nova Scotia,23160,23160
8: 2021-01-03 to 2021-01-16,New Brunswick,17050,17050
8: 2021-01-03 to 2021-01-16,Quebec,227140,227140
8: 2021-01-03 to 2021-01-16,Ontario,560760,560760
8: 2021-01-03 to 2021-01-16,Manitoba,34740,34740
8: 2021-01-03 to 2021-01-16,Saskatchewan,29220,29220
8: 2021-01-03 to 2021-01-16,Alberta,160240,160240
8: 2021-01-03 to 2021-01-16,British Columbia,147330,147330
8: 2021-01-03 to 2021-01-16,Yukon,1090,1090
8: 2021-01-03 to 2021-01-16,Northwest Territories,1520,1520
8: 2021-01-03 to 2021-01-16,Nunavut,920,920
8: 2021-01-03 to 2021-01-16,Outside Canada,390,390
8: 2021-01-03 to 2021-01-16,Missing,-,-
8: 2021-01-03 to 2021-01-16,Total,1218280,1218280
9: 2021-01-17 to 2021-01-30,Newfoundland and Labrador,12310,12310
9: 2021-01-17 to 2021-01-30,Prince Edward Island,2970,2970
9: 2021-01-17 to 2021-01-30,Nova Scotia,23150,23150
9: 2021-01-17 to 2021-01-30,New Brunswick,17960,17960
9: 2021-01-17 to 2021-01-30,Quebec,224960,224960
9: 2021-01-17 to 2021-01-30,Ontario,569560,569560
9: 2021-01-17 to 2021-01-30,Manitoba,34250,34250
9: 2021-01-17 to 2021-01-30,Saskatchewan,29860,29860
9: 2021-01-17 to 2021-01-30,Alberta,157370,157370
9: 2021-01-17 to 2021-01-30,British Columbia,149210,149210
9: 2021-01-17 to 2021-01-30,Yukon,1130,1130
9: 2021-01-17 to 2021-01-30,Northwest Territories,1570,1570
9: 2021-01-17 to 2021-01-30,Nunavut,940,940
9: 2021-01-17 to 2021-01-30,Outside Canada,390,390
9: 2021-01-17 to 2021-01-30,Missing,-,-
9: 2021-01-17 to 2021-01-30,Total,1225630,1225630
10: 2021-01-31 to 2021-02-13,Newfoundland and Labrador,13260,13260
10: 2021-01-31 to 2021-02-13,Prince Edward Island,3030,3030
10: 2021-01-31 to 2021-02-13,Nova Scotia,23310,23310
10: 2021-01-31 to 2021-02-13,New Brunswick,17470,17470
10: 2021-01-31 to 2021-02-13,Quebec,209980,209980
10: 2021-01-31 to 2021-02-13,Ontario,568970,568970
10: 2021-01-31 to 2021-02-13,Manitoba,33390,33390
10: 2021-01-31 to 2021-02-13,Saskatchewan,30010,30010
10: 2021-01-31 to 2021-02-13,Alberta,156110,156110
10: 2021-01-31 to 2021-02-13,British Columbia,150480,150480
10: 2021-01-31 to 2021-02-13,Yukon,1130,1130
10: 2021-01-31 to 2021-02-13,Northwest Territories,1550,1550
10: 2021-01-31 to 2021-02-13,Nunavut,950,950
10: 2021-01-31 to 2021-02-13,Outside Canada,390,390
10: 2021-01-31 to 2021-02-13,Missing,-,-
10: 2021-01-31 to 2021-02-13,Total,1210010,1210010
11: 2021-02-14 to 2021-02-27,Newfoundland and Labrador,14710,14710
11: 2021-02-14 to 2021-02-27,Prince Edward Island,3040,3040
11: 2021-02-14 to 2021-02-27,Nova Scotia,23360,23360
11: 2021-02-14 to 2021-02-27,New Brunswick,17050,17050
11: 2021-02-14 to 2021-02-27,Quebec,198090,198090
11: 2021-02-14 to 2021-02-27,Ontario,554070,554070
11: 2021-02-14 to 2021-02-27,Manitoba,32620,32620
11: 2021-02-14 to 2021-02-27,Saskatchewan,30190,30190
11: 2021-02-14 to 2021-02-27,Alberta,154300,154300
11: 2021-02-14 to 2021-02-27,British Columbia,150310,150310
11: 2021-02-14 to 2021-02-27,Yukon,1110,1110
11: 2021-02-14 to 2021-02-27,Northwest Territories,1550,1550
11: 2021-02-14 to 2021-02-27,Nunavut,930,930
11: 2021-02-14 to 2021-02-27,Outside Canada,370,370
11: 2021-02-14 to 2021-02-27,Missing,-,-
11: 2021-02-14 to 2021-02-27,Total,1181690,1181690
