Eligibility End Date,Province/Territory,Number of Applications,Total Gross Amount ($000)
Oct-20,Newfoundland and Labrador,10850,10850
Oct-20,Prince Edward Island,2760,2760
Oct-20,Nova Scotia,20740,20740
Oct-20,New Brunswick,14550,14550
Oct-20,Quebec,168930,168930
Oct-20,Ontario,470820,470820
Oct-20,Manitoba,27340,27340
Oct-20,Saskatchewan,25870,25870
Oct-20,Alberta,127960,127960
Oct-20,British Columbia,133980,133980
Oct-20,Yukon,990,990
Oct-20,Northwest Territories,1440,1440
Oct-20,Nunavut,750,750
Oct-20,Outside Canada,360,360
Oct-20,Newfoundland and Labrador,11710,11710
Oct-20,Prince Edward Island,2910,2910
Oct-20,Nova Scotia,22200,22200
Oct-20,New Brunswick,15900,15900
Oct-20,Quebec,180410,180410
Oct-20,Ontario,488820,488820
Oct-20,Manitoba,30550,30550
Oct-20,Saskatchewan,27840,27840
Oct-20,Alberta,136300,136300
Oct-20,British Columbia,141390,141390
Oct-20,Yukon,1060,1060
Oct-20,Northwest Territories,1510,1510
Oct-20,Nunavut,830,830
Oct-20,Outside Canada,370,370
Nov-20,Newfoundland and Labrador,12010,12010
Nov-20,Prince Edward Island,2950,2950
Nov-20,Nova Scotia,23320,23320
Nov-20,New Brunswick,16210,16210
Nov-20,Quebec,185430,185430
Nov-20,Ontario,502960,502960
Nov-20,Manitoba,33200,33200
Nov-20,Saskatchewan,29180,29180
Nov-20,Alberta,142560,142560
Nov-20,British Columbia,146520,146520
Nov-20,Yukon,1150,1150
Nov-20,Northwest Territories,1590,1590
Nov-20,Nunavut,880,880
Nov-20,Outside Canada,420,420
Nov-20,Newfoundland and Labrador,12250,12250
Nov-20,Prince Edward Island,3060,3060
Nov-20,Nova Scotia,24210,24210
Nov-20,New Brunswick,16710,16710
Nov-20,Quebec,189710,189710
Nov-20,Ontario,508930,508930
Nov-20,Manitoba,36060,36060
Nov-20,Saskatchewan,30350,30350
Nov-20,Alberta,148840,148840
Nov-20,British Columbia,150870,150870
Nov-20,Yukon,1180,1180
Nov-20,Northwest Territories,1610,1610
Nov-20,Nunavut,940,940
Nov-20,Outside Canada,420,420
Dec-20,Newfoundland and Labrador,11510,11510
Dec-20,Prince Edward Island,2950,2950
Dec-20,Nova Scotia,23710,23710
Dec-20,New Brunswick,15870,15870
Dec-20,Quebec,181260,181260
Dec-20,Ontario,490840,490840
Dec-20,Manitoba,34150,34150
Dec-20,Saskatchewan,28650,28650
Dec-20,Alberta,146190,146190
Dec-20,British Columbia,145330,145330
Dec-20,Yukon,1050,1050
Dec-20,Northwest Territories,1450,1450
Dec-20,Nunavut,850,850
Dec-20,Outside Canada,400,400
Dec-20,Newfoundland and Labrador,11230,11230
Dec-20,Prince Edward Island,2970,2970
Dec-20,Nova Scotia,23370,23370
Dec-20,New Brunswick,15610,15610
Dec-20,Quebec,185840,185840
Dec-20,Ontario,503130,503130
Dec-20,Manitoba,34320,34320
Dec-20,Saskatchewan,28600,28600
