State,"Month, Year of Filed week ended",Continued Claims,Covered Employment,Initial Claims,Insured Unemployment Rate
Alabama,Jan-20,18523,1923741,4578,0.96
Alabama,Jan-20,21143,1923741,3629,1.1
Alabama,Jan-20,17402,1923741,2483,0.9
Alabama,Jan-20,18390,1923741,2129,0.96
Alabama,Feb-20,17284,1923741,2170,0.9
Alabama,Feb-20,16745,1923741,2176,0.87
Alabama,Feb-20,16571,1923741,1981,0.86
Alabama,Feb-20,16059,1923741,1735,0.83
Alabama,Feb-20,14721,1923741,1575,0.77
Alabama,Mar-20,13657,1923741,1663,0.71
Alabama,Mar-20,13070,1923741,1819,0.68
Alabama,Mar-20,12487,1923741,10892,0.65
Alabama,Mar-20,18083,1923741,80984,0.94
Alabama,Apr-20,52176,1923741,106739,2.71
Alabama,Apr-20,95325,1929897,77515,4.94
Alabama,Apr-20,144327,1929897,66432,7.48
Alabama,Apr-20,173855,1929897,74966,9.01
Alabama,May-20,214684,1929897,28985,11.12
Alabama,May-20,216856,1929897,26666,11.24
Alabama,May-20,203677,1929897,25150,10.55
Alabama,May-20,190205,1929897,27919,9.86
Alabama,May-20,183565,1929897,21335,9.51
Alabama,Jun-20,180245,1929897,19949,9.34
Alabama,Jun-20,163982,1929897,18367,8.5
Alabama,Jun-20,150002,1929897,18671,7.77
Alabama,Jun-20,141450,1929897,18338,7.33
Alabama,Jul-20,138272,1929897,19056,7.16
Alabama,Jul-20,117388,1935262,20563,6.07
Alabama,Jul-20,105644,1935262,23676,5.46
Alabama,Jul-20,94069,1935262,17437,4.86
Alabama,Aug-20,84070,1935262,11690,4.34
Alabama,Aug-20,70412,1935262,9467,3.64
Alabama,Aug-20,58275,1935262,11047,3.01
Alabama,Aug-20,51991,1935262,8676,2.69
Alabama,Aug-20,48797,1935262,8511,2.52
Alabama,Sep-20,44546,1935262,8901,2.3
Alabama,Sep-20,40198,1935262,8848,2.08
Alabama,Sep-20,37431,1935262,8679,1.93
Alabama,Sep-20,34997,1935262,8805,1.81
Alabama,Oct-20,30716,1935262,7732,1.59
Alabama,Oct-20,27063,1939059,8581,1.4
Alabama,Oct-20,43493,1939059,7964,2.24
Alabama,Oct-20,35544,1939059,7126,1.83
Alabama,Oct-20,31693,1939059,7060,1.63
Alabama,Nov-20,28422,1939059,8764,1.47
Alabama,Nov-20,25256,1939059,9262,1.3
Alabama,Nov-20,25647,1939059,11813,1.32
Alabama,Nov-20,22949,1939059,7061,1.18
Alabama,Dec-20,24658,1939059,7656,1.27
Alabama,Dec-20,23443,1939059,7568,1.21
