Date,State,Civilian noninstitutional population,Total,Percent of Population,Employed Total,Employed Percent of Population,Unemployed Total,Unemployed Percent of Labor Force
1/1/20,Alabama,3876526,2240277,57.8,2180872,56.3,59405,2.7
1/1/20,Alaska,546109,353349,64.7,335692,61.5,17657,5
1/1/20,Arizona,5802213,3581294,61.7,3409624,58.8,171670,4.8
1/1/20,Arkansas,2353674,1372291,58.3,1322159,56.2,50132,3.7
1/1/20,California,39118595,24630044,63.0,23556224,60.2,1073820,4.4
1/1/20,Colorado,4584112,3154544,68.8,3070164,67,84380,2.7
1/1/20,Connecticut,2885953,1921041,66.6,1850746,64.1,70295,3.7
1/1/20,Delaware,786721,493327,62.7,472306,60,21021,4.3
1/1/20,District of Columbia,582696,420360,72.1,399827,68.6,20533,4.9
1/1/20,Florida,17555962,10458937,59.6,10116910,57.6,342027,3.3
1/1/20,Georgia,8260627,5198431,62.9,5024604,60.8,173827,3.3
1/1/20,Hawaii,1089395,673017,61.8,659237,60.5,13780,2
1/1/20,Idaho,1390161,889944,64,867117,62.4,22827,2.6
1/1/20,Illinois,9983613,6370035,63.8,6149010,61.6,221025,3.5
1/1/20,Indiana,5262529,3372996,64.1,3266538,62.1,106458,3.2
1/1/20,Iowa,2477479,1734173,70,1684860,68,49313,2.8
1/1/20,Kansas,2232550,1500177,67.2,1453029,65.1,47148,3.1
1/1/20,Kentucky,3504469,2081086,59.4,1995321,56.9,85765,4.1
1/1/20,Louisiana,3584646,2150907,60,2041637,57,109270,5.1
1/1/20,Maine,1115592,699646,62.7,678873,60.9,20773,3
1/1/20,Maryland,4773748,3298221,69.1,3187160,66.8,111061,3.4
1/1/20,Massachusetts,5647161,3763790,66.6,3657139,64.8,106651,2.8
1/1/20,Michigan,7998157,4936707,61.7,4753182,59.4,183525,3.7
1/1/20,Minnesota,4440365,3116174,70.2,3017331,68,98843,3.2
1/1/20,Mississippi,2288349,1284171,56.1,1211954,53,72217,5.6
1/1/20,Missouri,4828271,3099592,64.2,2989051,61.9,110541,3.6
1/1/20,Montana,857398,542553,63.3,522727,61,19826,3.7
1/1/20,Nebraska,1484013,1044199,70.4,1013444,68.3,30755,2.9
1/1/20,Nevada,2460603,1597920,64.9,1539287,62.6,58633,3.7
1/1/20,New Hampshire,1127119,773561,68.6,753657,66.9,19904,2.6
1/1/20,New Jersey,7080875,4580764,64.7,4413361,62.3,167403,3.7
1/1/20,New Mexico,1648883,965005,58.5,915559,55.5,49446,5.1
1/1/20,New York,22335479,13589912,60.8,13081901,58.6,508011,3.7
1/1/20,North Carolina,8316381,5108053,61.4,4928448,59.3,179605,3.5
1/1/20,North Dakota,584888,407647,69.7,398499,68.1,9148,2.2
1/1/20,Ohio,9256594,5895125,63.7,5627571,60.8,267554,4.5
1/1/20,Oklahoma,3044378,1850300,60.8,1793406,58.9,56894,3.1
1/1/20,Oregon,3428283,2108977,61.5,2037231,59.4,71746,3.4
1/1/20,Pennsylvania,10283103,6532104,63.5,6216949,60.5,315155,4.8
1/1/20,Rhode Island,864092,562012,65,540769,62.6,21243,3.8
1/1/20,South Carolina,4104607,2366322,57.7,2304184,56.1,62138,2.6
1/1/20,South Dakota,677767,463997,68.5,450535,66.5,13462,2.9
1/1/20,Tennessee,5413972,3338446,61.7,3214183,59.4,124263,3.7
1/1/20,Texas,22136086,14178765,64.1,13673709,61.8,505056,3.6
1/1/20,Utah,2377669,1630818,68.6,1590908,66.9,39910,2.4
1/1/20,Vermont,518807,343628,66.2,335164,64.6,8464,2.5
1/1/20,Virginia,6711014,4453855,66.4,4343866,64.7,109989,2.5
1/1/20,Washington,6067267,3957004,65.2,3799953,62.6,157051,4
1/1/20,West Virginia,1447094,805300,55.6,764995,52.9,40305,5
1/1/20,Wisconsin,4647953,3084954,66.4,2982788,64.2,102166,3.3
1/1/20,Wyoming,453129,298600,65.9,285320,63,13280,4.4
2/1/20,Alabama,3877055,2236491,57.7,2177852,56.2,58639,2.6
2/1/20,Alaska,545922,352940,64.7,335023,61.4,17917,5.1
2/1/20,Arizona,5812433,3584045,61.7,3407756,58.6,176289,4.9
2/1/20,Arkansas,2354279,1371944,58.3,1319917,56.1,52027,3.8
2/1/20,California,39115154,24630911,63.0,23527468,60.1,1103443,4.5
2/1/20,Colorado,4588565,3153582,68.7,3065913,66.8,87669,2.8
2/1/20,Connecticut,2885386,1917993,66.5,1846218,64,71775,3.7
2/1/20,Delaware,787402,494035,62.7,471865,59.9,22170,4.5
2/1/20,District of Columbia,582864,420448,72.1,399437,68.5,21011,5
2/1/20,Florida,17571923,10461404,59.5,10111574,57.5,349830,3.3
2/1/20,Georgia,8266924,5201435,62.9,5021666,60.7,179769,3.5
2/1/20,Hawaii,1088920,671901,61.7,658112,60.4,13789,2.1
2/1/20,Idaho,1392964,890044,63.9,866502,62.2,23542,2.6
2/1/20,Illinois,9978724,6355061,63.7,6128641,61.4,226420,3.6
2/1/20,Indiana,5263980,3359160,63.8,3250571,61.8,108589,3.2
2/1/20,Iowa,2477569,1727949,69.7,1678066,67.7,49883,2.9
2/1/20,Kansas,2232676,1498044,67.1,1450486,65,47558,3.2
2/1/20,Kentucky,3504588,2077898,59.3,1991434,56.8,86464,4.2
2/1/20,Louisiana,3583665,2151507,60,2039411,56.9,112096,5.2
2/1/20,Maine,1115854,699067,62.6,677448,60.7,21619,3.1
2/1/20,Maryland,4773523,3298443,69.1,3184239,66.7,114204,3.5
2/1/20,Massachusetts,5647178,3747222,66.4,3642616,64.5,104606,2.8
2/1/20,Michigan,7996913,4927949,61.6,4743379,59.3,184570,3.7
2/1/20,Minnesota,4441480,3117081,70.2,3013513,67.8,103568,3.3
2/1/20,Mississippi,2287820,1283304,56.1,1209022,52.8,74282,5.8
2/1/20,Missouri,4828978,3097559,64.1,2984967,61.8,112592,3.6
2/1/20,Montana,858070,542368,63.2,522142,60.9,20226,3.7
2/1/20,Nebraska,1484359,1043340,70.3,1012002,68.2,31338,3
2/1/20,Nevada,2464244,1599451,64.9,1539656,62.5,59795,3.7
2/1/20,New Hampshire,1127540,770973,68.4,750806,66.6,20167,2.6
